epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
71,12997.9,1.63862,0.88668,0.84275,0.91686,0.82005,0.87921,0.43801,1.80812,0.95834,0.89778,0.000307,0.000307,0.000307
72,13180.2,1.65417,0.88175,0.84051,0.91475,0.7964,0.86316,0.41848,1.86467,0.97308,0.90245,0.0002971,0.0002971,0.0002971
73,13361.1,1.63481,0.8878,0.83444,0.92018,0.78531,0.85915,0.41789,1.84037,0.97294,0.90129,0.0002872,0.0002872,0.0002872
74,13545.7,1.60051,0.86286,0.84282,0.90093,0.8247,0.87,0.42176,1.8323,0.97788,0.89926,0.0002773,0.0002773,0.0002773
75,13723.6,1.64587,0.87363,0.83185,0.89581,0.82675,0.8724,0.43875,1.78908,0.94875,0.89069,0.0002674,0.0002674,0.0002674
76,13903.3,1.5947,0.83686,0.83619,0.9074,0.80491,0.86767,0.44577,1.77409,0.94511,0.89197,0.0002575,0.0002575,0.0002575
77,14086.1,1.58356,0.8459,0.84024,0.9199,0.81455,0.872,0.4489,1.78673,0.91701,0.89148,0.0002476,0.0002476,0.0002476
78,14262.4,1.60035,0.85636,0.83899,0.90905,0.82873,0.87228,0.43824,1.81809,0.9267,0.89707,0.0002377,0.0002377,0.0002377
79,14436.5,1.60354,0.86231,0.82467,0.92565,0.81693,0.87062,0.44459,1.80311,0.91721,0.89516,0.0002278,0.0002278,0.0002278
80,14614.5,1.59249,0.84276,0.83768,0.93109,0.79945,0.87678,0.43421,1.81926,0.92245,0.89517,0.0002179,0.0002179,0.0002179
81,14796.1,1.58513,0.83264,0.83255,0.9472,0.79843,0.87179,0.43668,1.80495,0.91784,0.89259,0.000208,0.000208,0.000208
82,14974.5,1.54209,0.82301,0.81969,0.90929,0.81054,0.87419,0.45021,1.7668,0.9058,0.89128,0.0001981,0.0001981,0.0001981
83,15154.7,1.59827,0.84154,0.83596,0.89224,0.81562,0.86126,0.43986,1.8038,0.92569,0.89743,0.0001882,0.0001882,0.0001882
84,15331.1,1.56103,0.81291,0.83215,0.9292,0.81357,0.88196,0.44776,1.79999,0.92235,0.89457,0.0001783,0.0001783,0.0001783
85,15523.4,1.58571,0.84238,0.82309,0.91278,0.82091,0.87097,0.44138,1.80483,0.93135,0.89738,0.0001684,0.0001684,0.0001684
86,15709,1.61221,0.85877,0.8213,0.90922,0.83143,0.8757,0.43364,1.7997,0.91948,0.89519,0.0001585,0.0001585,0.0001585
87,15904.2,1.53702,0.80042,0.82209,0.91841,0.82445,0.87751,0.44061,1.78265,0.92143,0.89192,0.0001486,0.0001486,0.0001486
88,16085.8,1.55182,0.81891,0.82947,0.92703,0.8258,0.87244,0.44443,1.79044,0.91506,0.89331,0.0001387,0.0001387,0.0001387
89,16263.7,1.48529,0.78157,0.8302,0.92047,0.82486,0.8825,0.43813,1.79268,0.91428,0.89352,0.0001288,0.0001288,0.0001288
90,16447.1,1.59566,0.85796,0.8217,0.93161,0.816,0.88236,0.44178,1.784,0.91305,0.89374,0.0001189,0.0001189,0.0001189
91,16631,1.49533,0.79878,0.86387,0.92356,0.80994,0.87032,0.43483,1.81538,0.9269,0.89948,0.000109,0.000109,0.000109
92,16819.7,1.4577,0.7557,0.84562,0.92289,0.79931,0.85863,0.43057,1.8131,0.96422,0.90733,9.91e-05,9.91e-05,9.91e-05
93,16998.1,1.43097,0.73136,0.84253,0.93165,0.79209,0.85618,0.4335,1.81055,0.96174,0.90474,8.92e-05,8.92e-05,8.92e-05
94,17177.2,1.43331,0.72358,0.8376,0.90502,0.82967,0.86316,0.43944,1.80808,0.94676,0.89991,7.93e-05,7.93e-05,7.93e-05
95,17352.6,1.40959,0.72104,0.84152,0.91453,0.80754,0.86369,0.43273,1.81945,0.95043,0.89845,6.94e-05,6.94e-05,6.94e-05
96,17530.1,1.41577,0.7232,0.84605,0.94285,0.80052,0.86864,0.43416,1.81573,0.94314,0.89674,5.95e-05,5.95e-05,5.95e-05
97,17710.9,1.43004,0.73308,0.83645,0.91791,0.81507,0.87087,0.43418,1.81051,0.93115,0.89754,4.96e-05,4.96e-05,4.96e-05
98,17892.6,1.40654,0.70758,0.83979,0.9158,0.82751,0.86847,0.43834,1.80873,0.92599,0.89649,3.97e-05,3.97e-05,3.97e-05
99,18076,1.36707,0.6885,0.84228,0.91335,0.83156,0.87243,0.44491,1.80639,0.9188,0.89528,2.98e-05,2.98e-05,2.98e-05
100,18279.4,1.38524,0.6928,0.83899,0.91955,0.8269,0.87031,0.44335,1.80563,0.91463,0.8955,1.99e-05,1.99e-05,1.99e-05
